Name,Age,Season,Team,Conference,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Kelly Norris-Jones,20,2012,Illinois,Big Ten,46,151,128,14,34,5,0,0,14,2,1,6,28,0.266,0.349,0.305,0.654,39,,11,5,1,0,,player.fcgi?id=norris001kel
Jordan Parr,21,2012,Illinois,Big Ten,53,221,201,37,70,13,3,5,45,6,10,14,27,0.348,0.393,0.517,0.91,104,,2,2,2,1,,player.fcgi?id=parr--000jor
Justin Parr*,21,2012,Illinois,Big Ten,53,235,207,37,60,9,4,3,38,7,6,20,27,0.29,0.349,0.416,0.765,86,,1,3,4,1,,player.fcgi?id=parr--000jus
Reid Roper*,20,2012,Illinois,Big Ten,53,209,174,32,51,9,2,1,20,1,2,24,40,0.293,0.396,0.385,0.781,67,,7,2,2,0,,player.fcgi?id=roper-001rei
Thomas Shelton?,--,2012,Illinois,Big Ten,39,96,89,13,26,5,0,2,13,2,0,4,19,0.292,0.337,0.416,0.753,37,,2,1,0,1,,player.fcgi?id=shelto000tho
Jason Goldstein,19,2013,Illinois,Big Ten,43,159,143,18,33,5,1,0,11,3,0,9,21,0.231,0.286,0.28,0.565,40,,2,5,0,0,,player.fcgi?id=goldst000jas
Chase Hainline?,--,2013,Illinois,Big Ten,8,9,6,3,3,0,0,0,1,1,0,3,0,0.5,0.667,0.5,1.167,3,,0,0,0,0,,player.fcgi?id=hainli000cha
Davis Hendrickson?,--,2013,Illinois,Big Ten,45,163,138,24,37,7,1,0,14,11,6,14,40,0.268,0.367,0.333,0.7,46,,8,2,1,0,,player.fcgi?id=hendri000dav
Brandon Hohl,22,2013,Illinois,Big Ten,55,242,203,28,54,12,0,3,35,4,1,27,40,0.266,0.363,0.37,0.732,75,,6,2,4,1,,player.fcgi?id=hohl--000bra
Michael Hurwitz#,20,2013,Illinois,Big Ten,55,247,203,38,60,12,1,1,33,7,4,39,32,0.296,0.415,0.379,0.794,77,,3,1,1,0,,player.fcgi?id=hurwit000mic
David Kerian#,20,2013,Illinois,Big Ten,53,226,195,30,61,11,1,1,39,23,5,25,34,0.313,0.39,0.395,0.785,77,,1,3,2,1,,player.fcgi?id=kerian000dav
Will Krug,20,2013,Illinois,Big Ten,25,104,95,25,29,2,1,0,2,8,2,5,20,0.305,0.343,0.347,0.691,33,,1,2,1,0,,player.fcgi?id=krug--000wil
